Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Under the Stars of Paris,movie,Drama,2020,6.1,"FR, MC"
Benchwarmers 2: Breaking Balls,movie,"Comedy, Sport",2019,4.1,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Well Groomed,movie,"Documentary, Sport",2019,5.8,US
Song of Parkland,movie,"Documentary, Drama, Short",2019,6.2,"AD, BA, BG, CZ, ES, HK, HR, HU, ID, MD, ME, MK, MY, PH, PL, PT, RO, RS, SG, SI, SK, TH, TW, US"
One Nation Under Stress,movie,Documentary,2019,6.8,"BA, BG, CZ, HK, HR, HU, ID, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW, US"
Ice on Fire,movie,Documentary,2019,7.4,"AD, BA, BE, BG, CZ, ES, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, NL, PH, PL, PT, RO, RS, SG, SI, SK, TH, TW, US"
True Justice: Bryan Stevenson's Fight for Equality,movie,Documentary,2019,8.3,"AD, BA, BG, CZ, ES, HK, HR, HU, ID, MD, ME, MK, MY, PH, PL, PT, RO, RS, SG, SI, SK, TH, TW, US"
Watchmen: Chapter I,movie,"Action, Animation, Drama",2024,7.0,US
Daughter,movie,"Animation, Drama, Family",2019,6.5,"CZ, SK"
The Tree,movie,"Animation, Short",2016,,"CZ, SK"
Fiance's Sister,movie,"Romance, Drama",2019,,"ID, MY, SG, TH"
Ghosts of the Deep: Black Sea Shipwrecks,movie,Documentary,2019,7.8,US
La afinadora de árboles,movie,"Comedy, Drama",2019,6.1,US
The Art of Political Murder,movie,"Crime, Documentary",2020,7.3,US
Autism: The Sequel,movie,Documentary,2019,,US
Whitestar,movie,"Drama, Family",2019,5.6,NL
1800 gramów,movie,Comedy,2019,5.6,PL
Belichick & Saban: The Art of Coaching,movie,"Documentary, Sport",2019,7.6,US
Alan Pakula: Going for Truth,movie,"Biography, Documentary",2019,6.8,US
Night Is Not Eternal,movie,Documentary,2024,5.7,"AR, BR, ES, FR, US"
On the Record,movie,Documentary,2020,7.2,US
On the Come Up,movie,"Comedy, Drama, Music",2022,5.7,"HK, ID, MY, PH, SG, TH, TW"
La Poursuite impitoyable,movie,,1969,,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Identidad tomada,movie,Drama,2020,5.2,US
She Dies Tomorrow,movie,"Drama, Fantasy, Horror",2020,5.0,"DK, FI, NO, SE"
Mogul Mowgli,movie,"Drama, Music",2020,6.6,US
Murmuring Debris and Leaves Silently Fall,movie,,2018,,"AD, DK, ES, FI, HK, ID, MY, NO, PH, PT, SG, TH, TW"
España en dos trincheras. La guerra civil en color,movie,Documentary,2016,7.2,"AD, ES"
The Seal: Number 10 from the Street,movie,"Comedy, Drama",2020,5.5,US
Nacido para matar,movie,War,1986,5.7,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
