title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,596490,JP
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,802482,JP
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,173300,JP
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,810481,JP
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,493908,JP
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,69101,JP
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,499163,JP
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109208,JP
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2085554,JP
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1406743,JP
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,257473,JP
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,434313,JP
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,243887,JP
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,124032,US
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,415456,JP
"Batman Begins",movie,"Action, Drama",2005,tt0372784,8.2,1623244,JP
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2988374,JP
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,374264,JP
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,389315,JP
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,497751,JP
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1100630,JP
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,348344,JP
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,391183,JP
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,489991,JP
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,336744,JP
"La Strada",movie,Drama,1954,tt0047528,8,67704,JP
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,271893,JP
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,273390,JP
8½,movie,Drama,1963,tt0056801,8,127874,JP
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1010284,JP
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1113739,JP
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,204830,JP
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1118295,JP
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112222,JP
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,165876,JP
"Fight Club",movie,Drama,1999,tt0137523,8.8,2416120,JP
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,386032,JP
"Die Hard",movie,"Action, Thriller",1988,tt0095016,8.2,978596,US
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,475691,US
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,385378,JP
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,305702,JP
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,508143,JP
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,448932,JP
